,opis_truckstop_id,truckstop_name,address,city,state,rack_id,retail_price,lat,lng
0,7,Woodshed Of Big Cabin,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.5423,-95.222
1,9,Kwik Trip #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,43.9879,-90.4999
2,20,Pilot Travel Center #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.9662,-112.7154
3,20,Pilot #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.9662,-112.7154
4,28,Littlefield Express #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.3495,-94.3695
5,35,Aci Truck Stop,US-46,Columbia,NJ,90,3.079,40.926,-75.0945
6,36,Shenandoah Truck Center,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.739,-78.651
7,44,Circle K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.8103,-97.6144
8,46,Petro Stopping Center #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.4077,-85.9413
9,49,Ta Seymour Travel Center,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.9476,-85.8911
10,50,Ta Council Bluffs Travel Center,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.2369,-95.8516
11,56,Tops Truck Stop,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,,
12,75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.4689,-107.859
13,77,Oasis Travel Plaza,US-13,Laurel,DE,243,3.229,38.5691,-75.5689
14,79,Delaware Truck Plaza,US-13 & US-40,New Castle,DE,243,3.249,39.6681,-75.5697
15,81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.5269,-82.5258
16,85,Downieville Fuel Stop,"I-70, EXIT 234",Dumont,CO,800,3.459,,
17,91,Mollys Food & Fuel,"I-20 & ST 22, EXIT 55",Crawfordville,GA,135,3.499,33.5545,-82.8966
18,105,Ta Saginaw I 75 Travel Center,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,43.3706,-83.8827
19,105,Ta Saginaw I 75 Travel Center,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,43.3706,-83.8827
20,105,Ta Saginaw I 75 Travel Center,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,43.3706,-83.8827
21,105,Ta Saginaw I 75 Travel Center,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,43.3706,-83.8827
22,105,Ta Saginaw I 75 Travel Center,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,43.3706,-83.8827
23,105,Ta Saginaw I 75 Travel Center,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,43.3706,-83.8827
24,118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,35.3547,-109.0527
25,121,Petro Stopping Center #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.747,-111.5992
26,127,Circle K #4700095,US-41,Henderson,KY,340,3.609,37.8397,-87.5798
27,128,The Effingham Chrome Shop,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.399,39.1205,-88.5509
28,128,The Effingham Chrome Shop,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.349,39.1205,-88.5509
29,128,The Effingham Chrome Shop,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.549,39.1205,-88.5509
